================================================================================
CODEPLUG ORIGINAL - INFORME COMPLETO
Archivo: D:\DL\Programacion Tytera UV380\codeplug_actual.bin
Tamano: 262144 bytes (256 KB)
Fecha del informe: 2026-09-16
================================================================================

--- IDENTIFICACION DEL EQUIPO ---
SN: ￿￿￿￿￿￿￿￿
Model: ￿￿￿￿￿￿￿￿
Code: ￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿

--- CANALES (1000 poblados) ---
   # Mode  Pwr   RX MHz     TX MHz     Tone RX    Tone TX    Contact  Name
----------------------------------------------------------------------------------------------------
 253 DMR   HIGH  438.50000  430.90000  OFF        OFF        2        ED1ZAU 1-2 BM
 254 DMR   HIGH  438.50000  430.90000  OFF        OFF        3        ED1ZAU 1-14 BM
 255 DMR   HIGH  438.50000  430.90000  OFF        OFF        4        ED1ZAU 1-214 BM
 256 DMR   HIGH  438.50000  430.90000  OFF        OFF        6        ED1ZAU 1-9 BM
 257 DMR   HIGH  438.50000  430.90000  OFF        OFF        6        ED1ZAU 2-9 BM
 258 DMR   HIGH  438.50000  430.90000  OFF        OFF        21       ED1ZAU ECHO BM
 259 DMR   HIGH  438.50000  430.90000  OFF        OFF        9        ED1ZAU EA1 BM
 260 DMR   HIGH  438.50000  430.90000  OFF        OFF        10       ED1ZAU EA2 BM
 261 DMR   HIGH  438.50000  430.90000  OFF        OFF        11       ED1ZAU EA3 BM
 262 DMR   HIGH  438.50000  430.90000  OFF        OFF        12       ED1ZAU EA4 BM
 263 DMR   HIGH  438.50000  430.90000  OFF        OFF        13       ED1ZAU EA5 BM
 264 DMR   HIGH  438.50000  430.90000  OFF        OFF        14       ED1ZAU EA6 BM
 265 DMR   HIGH  438.50000  430.90000  OFF        OFF        15       ED1ZAU EA7 BM
 266 DMR   HIGH  438.50000  430.90000  OFF        OFF        16       ED1ZAU EA8 BM
 267 DMR   HIGH  438.50000  430.90000  OFF        OFF        17       ED1ZAU EA9 BM
 268 DMR   HIGH  438.30000  430.70000  OFF        OFF        1        ED2YAR 1-1 BM
 269 DMR   HIGH  438.30000  430.70000  OFF        OFF        2        ED2YAR 1-2 BM
 270 DMR   HIGH  438.30000  430.70000  OFF        OFF        3        ED2YAR 1-14 BM
 271 DMR   HIGH  438.30000  430.70000  OFF        OFF        4        ED2YAR 1-214 BM
 272 DMR   HIGH  438.30000  430.70000  OFF        OFF        6        ED2YAR 1-9 BM
 273 DMR   HIGH  438.30000  430.70000  OFF        OFF        6        ED2YAR 2-9 BM
 274 DMR   HIGH  438.30000  430.70000  OFF        OFF        21       ED2YAR ECHO BM
 275 DMR   HIGH  438.30000  430.70000  OFF        OFF        9        ED2YAR EA1 BM
 276 DMR   HIGH  438.30000  430.70000  OFF        OFF        10       ED2YAR EA2 BM
 277 DMR   HIGH  438.30000  430.70000  OFF        OFF        11       ED2YAR EA3 BM
 278 DMR   HIGH  438.30000  430.70000  OFF        OFF        12       ED2YAR EA4 BM
 279 DMR   HIGH  438.30000  430.70000  OFF        OFF        13       ED2YAR EA5 BM
 280 DMR   HIGH  438.30000  430.70000  OFF        OFF        14       ED2YAR EA6 BM
 281 DMR   HIGH  438.30000  430.70000  OFF        OFF        15       ED2YAR EA7 BM
 282 DMR   HIGH  438.30000  430.70000  OFF        OFF        16       ED2YAR EA8 BM
 283 DMR   HIGH  438.30000  430.70000  OFF        OFF        17       ED2YAR EA9 BM
 284 DMR   HIGH  438.40000  430.80000  OFF        OFF        1        ED1ZAW 1-1 BM
 285 DMR   HIGH  438.40000  430.80000  OFF        OFF        2        ED1ZAW 1-2 BM
 286 DMR   HIGH  438.40000  430.80000  OFF        OFF        3        ED1ZAW 1-14 BM
 287 DMR   HIGH  438.40000  430.80000  OFF        OFF        4        ED1ZAW 1-214 BM
 288 DMR   HIGH  438.40000  430.80000  OFF        OFF        6        ED1ZAW 1-9 BM
 289 DMR   HIGH  438.40000  430.80000  OFF        OFF        6        ED1ZAW 2-9 BM
 290 DMR   HIGH  438.40000  430.80000  OFF        OFF        21       ED1ZAW ECHO BM
 291 DMR   HIGH  438.40000  430.80000  OFF        OFF        9        ED1ZAW EA1 BM
 292 DMR   HIGH  438.40000  430.80000  OFF        OFF        10       ED1ZAW EA2 BM
 293 DMR   HIGH  438.40000  430.80000  OFF        OFF        11       ED1ZAW EA3 BM
 294 DMR   HIGH  438.40000  430.80000  OFF        OFF        12       ED1ZAW EA4 BM
 295 DMR   HIGH  438.40000  430.80000  OFF        OFF        13       ED1ZAW EA5 BM
 296 DMR   HIGH  438.40000  430.80000  OFF        OFF        14       ED1ZAW EA6 BM
 297 DMR   HIGH  438.40000  430.80000  OFF        OFF        15       ED1ZAW EA7 BM
 298 DMR   HIGH  438.40000  430.80000  OFF        OFF        16       ED1ZAW EA8 BM
 299 DMR   HIGH  438.40000  430.80000  OFF        OFF        17       ED1ZAW EA9 BM
 300 DMR   HIGH  438.42500  430.82500  OFF        OFF        1        ED4ZAD 1-1 BM
 301 DMR   HIGH  438.42500  430.82500  OFF        OFF        2        ED4ZAD 1-2 BM
 302 DMR   HIGH  438.42500  430.82500  OFF        OFF        3        ED4ZAD 1-14 BM
 303 DMR   HIGH  438.42500  430.82500  OFF        OFF        4        ED4ZAD 1-214 BM
 304 DMR   HIGH  438.42500  430.82500  OFF        OFF        6        ED4ZAD 1-9 BM
 305 DMR   HIGH  438.42500  430.82500  OFF        OFF        6        ED4ZAD 2-9 BM
 306 DMR   HIGH  438.42500  430.82500  OFF        OFF        21       ED4ZAD ECHO BM
 307 DMR   HIGH  438.42500  430.82500  OFF        OFF        9        ED4ZAD EA1 BM
 308 DMR   HIGH  438.42500  430.82500  OFF        OFF        10       ED4ZAD EA2 BM
 309 DMR   HIGH  438.42500  430.82500  OFF        OFF        11       ED4ZAD EA3 BM
 310 DMR   HIGH  438.42500  430.82500  OFF        OFF        12       ED4ZAD EA4 BM
 311 DMR   HIGH  438.42500  430.82500  OFF        OFF        13       ED4ZAD EA5 BM
 312 DMR   HIGH  438.42500  430.82500  OFF        OFF        14       ED4ZAD EA6 BM
 313 DMR   HIGH  438.42500  430.82500  OFF        OFF        15       ED4ZAD EA7 BM
 314 DMR   HIGH  438.42500  430.82500  OFF        OFF        16       ED4ZAD EA8 BM
 315 DMR   HIGH  438.42500  430.82500  OFF        OFF        17       ED4ZAD EA9 BM
 316 DMR   HIGH  438.30000  430.70000  OFF        OFF        1        ED7ZAJ 1-1 BM
 317 DMR   HIGH  438.30000  430.70000  OFF        OFF        2        ED7ZAJ 1-2 BM
 318 DMR   HIGH  438.30000  430.70000  OFF        OFF        3        ED7ZAJ 1-14 BM
 319 DMR   HIGH  438.30000  430.70000  OFF        OFF        4        ED7ZAJ 1-214 BM
 320 DMR   HIGH  438.30000  430.70000  OFF        OFF        6        ED7ZAJ 1-9 BM
 321 DMR   HIGH  438.30000  430.70000  OFF        OFF        6        ED7ZAJ 2-9 BM
 322 DMR   HIGH  438.30000  430.70000  OFF        OFF        21       ED7ZAJ ECHO BM
 323 DMR   HIGH  438.30000  430.70000  OFF        OFF        9        ED7ZAJ EA1 BM
 324 DMR   HIGH  438.30000  430.70000  OFF        OFF        10       ED7ZAJ EA2 BM
 325 DMR   HIGH  438.30000  430.70000  OFF        OFF        11       ED7ZAJ EA3 BM
 326 DMR   HIGH  438.30000  430.70000  OFF        OFF        12       ED7ZAJ EA4 BM
 327 DMR   HIGH  438.30000  430.70000  OFF        OFF        13       ED7ZAJ EA5 BM
 328 DMR   HIGH  438.30000  430.70000  OFF        OFF        14       ED7ZAJ EA6 BM
 329 DMR   HIGH  438.30000  430.70000  OFF        OFF        15       ED7ZAJ EA7 BM
 330 DMR   HIGH  438.30000  430.70000  OFF        OFF        16       ED7ZAJ EA8 BM
 331 DMR   HIGH  438.30000  430.70000  OFF        OFF        17       ED7ZAJ EA9 BM
 332 DMR   HIGH  438.35000  430.75000  OFF        OFF        1        ED1ZAK 1-1 BM
 333 DMR   HIGH  438.35000  430.75000  OFF        OFF        2        ED1ZAK 1-2 BM
 334 DMR   HIGH  438.35000  430.75000  OFF        OFF        3        ED1ZAK 1-14 BM
 335 DMR   HIGH  438.35000  430.75000  OFF        OFF        4        ED1ZAK 1-214 BM
 336 DMR   HIGH  438.35000  430.75000  OFF        OFF        6        ED1ZAK 1-9 BM
 337 DMR   HIGH  438.35000  430.75000  OFF        OFF        6        ED1ZAK 2-9 BM
 338 DMR   HIGH  438.35000  430.75000  OFF        OFF        21       ED1ZAK ECHO BM
 339 DMR   HIGH  438.35000  430.75000  OFF        OFF        9        ED1ZAK EA1 BM
 340 DMR   HIGH  438.35000  430.75000  OFF        OFF        10       ED1ZAK EA2 BM
 341 DMR   HIGH  438.35000  430.75000  OFF        OFF        11       ED1ZAK EA3 BM
 342 DMR   HIGH  438.35000  430.75000  OFF        OFF        12       ED1ZAK EA4 BM
 343 DMR   HIGH  438.35000  430.75000  OFF        OFF        13       ED1ZAK EA5 BM
 344 DMR   HIGH  438.35000  430.75000  OFF        OFF        14       ED1ZAK EA6 BM
 345 DMR   HIGH  438.35000  430.75000  OFF        OFF        15       ED1ZAK EA7 BM
 346 DMR   HIGH  438.35000  430.75000  OFF        OFF        16       ED1ZAK EA8 BM
 347 DMR   HIGH  438.35000  430.75000  OFF        OFF        17       ED1ZAK EA9 BM
 348 DMR   HIGH  438.31250  430.71250  OFF        OFF        23       ED3ZAG 1-1
 349 DMR   HIGH  438.31250  430.71250  OFF        OFF        24       ED3ZAG 1-2
 350 DMR   HIGH  438.31250  430.71250  OFF        OFF        25       ED3ZAG 1-14
 351 DMR   HIGH  438.31250  430.71250  OFF        OFF        4        ED3ZAG 1-214
 352 DMR   HIGH  438.31250  430.71250  OFF        OFF        6        ED3ZAG 1-9
 353 DMR   HIGH  438.31250  430.71250  OFF        OFF        6        ED3ZAG 2-9
 354 DMR   HIGH  438.31250  430.71250  OFF        OFF        5        ED3ZAG 2-8
 355 DMR   HIGH  438.31250  430.71250  OFF        OFF        8        ED3ZAG ECHO
 356 DMR   HIGH  438.52500  430.92500  OFF        OFF        1        ED2ZAF 1-1 BM
 357 DMR   HIGH  438.52500  430.92500  OFF        OFF        2        ED2ZAF 1-2 BM
 358 DMR   HIGH  438.52500  430.92500  OFF        OFF        3        ED2ZAF 1-14 BM
 359 DMR   HIGH  438.52500  430.92500  OFF        OFF        4        ED2ZAF 1-214 BM
 360 DMR   HIGH  438.52500  430.92500  OFF        OFF        6        ED2ZAF 1-9 BM
 361 DMR   HIGH  438.52500  430.92500  OFF        OFF        6        ED2ZAF 2-9 BM
 362 DMR   HIGH  438.52500  430.92500  OFF        OFF        21       ED2ZAF ECHO BM
 363 DMR   HIGH  438.52500  430.92500  OFF        OFF        9        ED2ZAF EA1 BM
 364 DMR   HIGH  438.52500  430.92500  OFF        OFF        10       ED2ZAF EA2 BM
 365 DMR   HIGH  438.52500  430.92500  OFF        OFF        11       ED2ZAF EA3 BM
 366 DMR   HIGH  438.52500  430.92500  OFF        OFF        12       ED2ZAF EA4 BM
 367 DMR   HIGH  438.52500  430.92500  OFF        OFF        13       ED2ZAF EA5 BM
 368 DMR   HIGH  438.52500  430.92500  OFF        OFF        14       ED2ZAF EA6 BM
 369 DMR   HIGH  438.52500  430.92500  OFF        OFF        15       ED2ZAF EA7 BM
 370 DMR   HIGH  438.52500  430.92500  OFF        OFF        16       ED2ZAF EA8 BM
 371 DMR   HIGH  438.52500  430.92500  OFF        OFF        17       ED2ZAF EA9 BM
 372 DMR   HIGH  438.40000  430.80000  OFF        OFF        1        ED2ZAH 1-91 BM
 373 DMR   HIGH  438.40000  430.80000  OFF        OFF        2        ED2ZAH 1-92 BM
 374 DMR   HIGH  438.40000  430.80000  OFF        OFF        3        ED2ZAH 1-914 BM
 375 DMR   HIGH  438.40000  430.80000  OFF        OFF        4        ED2ZAH 1-214 BM
 376 DMR   HIGH  438.40000  430.80000  OFF        OFF        6        ED2ZAH 1-9 BM
 377 DMR   HIGH  438.40000  430.80000  OFF        OFF        6        ED2ZAH 2-9 BM
 378 DMR   HIGH  438.40000  430.80000  OFF        OFF        21       ED2ZAH ECHO BM
 379 DMR   HIGH  438.40000  430.80000  OFF        OFF        9        ED2ZAH EA1 BM
 380 DMR   HIGH  438.40000  430.80000  OFF        OFF        10       ED2ZAH EA2 BM
 381 DMR   HIGH  438.40000  430.80000  OFF        OFF        11       ED2ZAH EA3 BM
 382 DMR   HIGH  438.40000  430.80000  OFF        OFF        12       ED2ZAH EA4 BM
 383 DMR   HIGH  438.40000  430.80000  OFF        OFF        13       ED2ZAH EA5 BM
 384 DMR   HIGH  438.40000  430.80000  OFF        OFF        14       ED2ZAH EA6 BM
 385 DMR   HIGH  438.40000  430.80000  OFF        OFF        15       ED2ZAH EA7 BM
 386 DMR   HIGH  438.40000  430.80000  OFF        OFF        16       ED2ZAH EA8 BM
 387 DMR   HIGH  438.40000  430.80000  OFF        OFF        17       ED2ZAH EA9 BM
 388 DMR   HIGH  439.00000  431.40000  OFF        OFF        1        ED7ZAI 1-1
 389 DMR   HIGH  439.00000  431.40000  OFF        OFF        2        ED7ZAI 1-2
 390 DMR   HIGH  439.00000  431.40000  OFF        OFF        3        ED7ZAI 1-14
 391 DMR   HIGH  439.00000  431.40000  OFF        OFF        4        ED7ZAI 1-214
 392 DMR   HIGH  439.00000  431.40000  OFF        OFF        6        ED7ZAI 1-9
 393 DMR   HIGH  439.00000  431.40000  OFF        OFF        6        ED7ZAI 2-9
 394 DMR   HIGH  439.00000  431.40000  OFF        OFF        21       ED7ZAI ECHO
 395 DMR   HIGH  439.00000  431.40000  OFF        OFF        9        ED7ZAI EA1
 396 DMR   HIGH  439.00000  431.40000  OFF        OFF        10       ED7ZAI EA2
 397 DMR   HIGH  439.00000  431.40000  OFF        OFF        11       ED7ZAI EA3
 398 DMR   HIGH  439.00000  431.40000  OFF        OFF        12       ED7ZAI EA4
 399 DMR   HIGH  439.00000  431.40000  OFF        OFF        13       ED7ZAI EA5
 400 DMR   HIGH  439.00000  431.40000  OFF        OFF        14       ED7ZAI EA6
 401 DMR   HIGH  439.00000  431.40000  OFF        OFF        15       ED7ZAI EA7
 402 DMR   HIGH  439.00000  431.40000  OFF        OFF        16       ED7ZAI EA8
 403 DMR   HIGH  439.00000  431.40000  OFF        OFF        17       ED7ZAI EA9
 404 DMR   HIGH  438.87500  431.27500  OFF        OFF        1        ED7YAF 1-1
 405 DMR   HIGH  438.87500  431.27500  OFF        OFF        2        ED7YAF 1-2
 406 DMR   HIGH  438.87500  431.27500  OFF        OFF        3        ED7YAF 1-14
 407 DMR   HIGH  438.87500  431.27500  OFF        OFF        4        ED7YAF 1-214
 408 DMR   HIGH  438.87500  431.27500  OFF        OFF        6        ED7YAF 1-9
 409 DMR   HIGH  438.87500  431.27500  OFF        OFF        6        ED7YAF 2-9
 410 DMR   HIGH  438.87500  431.27500  OFF        OFF        21       ED7YAF ECHO
 411 DMR   HIGH  438.87500  431.27500  OFF        OFF        9        ED7YAF EA1
 412 DMR   HIGH  438.87500  431.27500  OFF        OFF        10       ED7YAF EA2
 413 DMR   HIGH  438.87500  431.27500  OFF        OFF        11       ED7YAF EA3
 414 DMR   HIGH  438.87500  431.27500  OFF        OFF        12       ED7YAF EA4
 415 DMR   HIGH  438.87500  431.27500  OFF        OFF        13       ED7YAF EA5
 416 DMR   HIGH  438.87500  431.27500  OFF        OFF        14       ED7YAF EA6
 417 DMR   HIGH  438.87500  431.27500  OFF        OFF        15       ED7YAF EA7
 418 DMR   HIGH  438.87500  431.27500  OFF        OFF        16       ED7YAF EA8
 419 DMR   HIGH  438.87500  431.27500  OFF        OFF        17       ED7YAF EA9
 420 DMR   HIGH  438.35000  430.75000  OFF        OFF        1        EA2RCP 1-1 BM
 421 DMR   HIGH  438.35000  430.75000  OFF        OFF        2        EA2RCP 1-2 BM
 422 DMR   HIGH  438.35000  430.75000  OFF        OFF        3        EA2RCP 1-14 BM
 423 DMR   HIGH  438.35000  430.75000  OFF        OFF        4        EA2RCP 1-214 BM
 424 DMR   HIGH  438.35000  430.75000  OFF        OFF        6        EA2RCP 1-9 BM
 425 DMR   HIGH  438.35000  430.75000  OFF        OFF        6        EA2RCP 2-9 BM
 426 DMR   HIGH  438.35000  430.75000  OFF        OFF        21       EA2RCP ECHO BM
 427 DMR   HIGH  438.35000  430.75000  OFF        OFF        9        EA2RCP EA1 BM
 428 DMR   HIGH  438.35000  430.75000  OFF        OFF        10       EA2RCP EA2 BM
 429 DMR   HIGH  438.35000  430.75000  OFF        OFF        11       EA2RCP EA3 BM
 430 DMR   HIGH  438.35000  430.75000  OFF        OFF        12       EA2RCP EA4 BM
 431 DMR   HIGH  438.35000  430.75000  OFF        OFF        13       EA2RCP EA5 BM
 432 DMR   HIGH  438.35000  430.75000  OFF        OFF        14       EA2RCP EA6 BM
 433 DMR   HIGH  438.35000  430.75000  OFF        OFF        15       EA2RCP EA7 BM
 434 DMR   HIGH  438.35000  430.75000  OFF        OFF        16       EA2RCP EA8 BM
 435 DMR   HIGH  438.35000  430.75000  OFF        OFF        17       EA2RCP EA9 BM
 436 DMR   HIGH  438.45000  430.85000  OFF        OFF        1        EA1GLE 1-1 BM
 437 DMR   HIGH  438.45000  430.85000  OFF        OFF        2        EA1GLE 1-2 BM
 438 DMR   HIGH  438.45000  430.85000  OFF        OFF        3        EA1GLE 1-14 BM
 439 DMR   HIGH  438.45000  430.85000  OFF        OFF        4        EA1GLE 1-214 BM
 440 DMR   HIGH  438.45000  430.85000  OFF        OFF        6        EA1GLE 1-9 BM
 441 DMR   HIGH  438.45000  430.85000  OFF        OFF        6        EA1GLE 2-9 BM
 442 DMR   HIGH  438.45000  430.85000  OFF        OFF        21       EA1GLE ECHO BM
 443 DMR   HIGH  438.45000  430.85000  OFF        OFF        9        EA1GLE EA1 BM
 444 DMR   HIGH  438.45000  430.85000  OFF        OFF        10       EA1GLE EA2 BM
 445 DMR   HIGH  438.45000  430.85000  OFF        OFF        11       EA1GLE EA3 BM
 446 DMR   HIGH  438.45000  430.85000  OFF        OFF        12       EA1GLE EA4 BM
 447 DMR   HIGH  438.45000  430.85000  OFF        OFF        13       EA1GLE EA5 BM
 448 DMR   HIGH  438.45000  430.85000  OFF        OFF        14       EA1GLE EA6 BM
 449 DMR   HIGH  438.45000  430.85000  OFF        OFF        15       EA1GLE EA7 BM
 450 DMR   HIGH  438.45000  430.85000  OFF        OFF        16       EA1GLE EA8 BM
 451 DMR   HIGH  438.45000  430.85000  OFF        OFF        17       EA1GLE EA9 BM
 452 DMR   HIGH  438.45000  430.85000  OFF        OFF        1        ED7ZAC 1-1 BM
 453 DMR   HIGH  438.45000  430.85000  OFF        OFF        2        ED7ZAC 1-2 BM
 454 DMR   HIGH  438.45000  430.85000  OFF        OFF        3        ED7ZAC 1-14 BM
 455 DMR   HIGH  438.45000  430.85000  OFF        OFF        4        ED7ZAC 1-214 BM
 456 DMR   HIGH  438.45000  430.85000  OFF        OFF        6        ED7ZAC 1-9 BM
 457 DMR   HIGH  438.45000  430.85000  OFF        OFF        6        ED7ZAC 2-9 BM
 458 DMR   HIGH  438.45000  430.85000  OFF        OFF        21       ED7ZAC ECHO BM
 459 DMR   HIGH  438.45000  430.85000  OFF        OFF        9        ED7ZAC EA1 BM
 460 DMR   HIGH  438.45000  430.85000  OFF        OFF        10       ED7ZAC EA2 BM
 461 DMR   HIGH  438.45000  430.85000  OFF        OFF        11       ED7ZAC EA3 BM
 462 DMR   HIGH  438.45000  430.85000  OFF        OFF        12       ED7ZAC EA4 BM
 463 DMR   HIGH  438.45000  430.85000  OFF        OFF        13       ED7ZAC EA5 BM
 464 DMR   HIGH  438.45000  430.85000  OFF        OFF        14       ED7ZAC EA6 BM
 465 DMR   HIGH  438.45000  430.85000  OFF        OFF        15       ED7ZAC EA7 BM
 466 DMR   HIGH  438.45000  430.85000  OFF        OFF        16       ED7ZAC EA8 BM
 467 DMR   HIGH  438.45000  430.85000  OFF        OFF        17       ED7ZAC EA9 BM
 468 DMR   LOW   438.50000  430.90000  OFF        OFF        1        ED5ZAJ  1-1
 469 DMR   HIGH  438.50000  430.90000  OFF        OFF        2        ED5ZAJ 1-2
 470 DMR   HIGH  438.50000  430.90000  OFF        OFF        3        ED5ZAJ 1-14
 471 DMR   HIGH  438.50000  430.90000  OFF        OFF        4        ED5ZAJ 1-214
 472 DMR   HIGH  438.50000  430.90000  OFF        OFF        6        ED5ZAJ 1-9
 473 DMR   HIGH  438.50000  430.90000  OFF        OFF        6        ED5ZAJ 2-9
 474 DMR   HIGH  438.50000  430.90000  OFF        OFF        21       ED5ZAJ ECHO
 475 DMR   HIGH  438.50000  430.90000  OFF        OFF        9        ED5ZAJ EA1 BM
 476 DMR   HIGH  438.50000  430.90000  OFF        OFF        10       ED5ZAJ EA2 BM
 477 DMR   HIGH  438.50000  430.90000  OFF        OFF        11       ED5ZAJ EA3 BM
 478 DMR   HIGH  438.50000  430.90000  OFF        OFF        12       ED5ZAJ EA4 BM
 479 DMR   HIGH  438.50000  430.90000  OFF        OFF        13       ED5ZAJ EA5 BM
 480 DMR   HIGH  438.50000  430.90000  OFF        OFF        14       ED5ZAJ EA6 BM
 481 DMR   HIGH  438.50000  430.90000  OFF        OFF        15       ED5ZAJ EA7 BM
 482 DMR   HIGH  438.50000  430.90000  OFF        OFF        16       ED5ZAJ EA8 BM
 483 DMR   HIGH  438.50000  430.90000  OFF        OFF        5        ED5ZAJ TG8 REG
 484 DMR   LOW   438.25000  430.65000  OFF        OFF        1        ED6ZAA  1-1 BM
 485 DMR   HIGH  438.25000  430.65000  OFF        OFF        2        ED6ZAA 1-2 BM
 486 DMR   HIGH  438.25000  430.65000  OFF        OFF        3        ED6ZAA 1-14 BM
 487 DMR   HIGH  438.25000  430.65000  OFF        OFF        4        ED6ZAA 1-214 BM
 488 DMR   HIGH  438.25000  430.65000  OFF        OFF        6        ED6ZAA 1-9 BM
 489 DMR   HIGH  438.25000  430.65000  OFF        OFF        6        ED6ZAA 2-9 BM
 490 DMR   HIGH  438.25000  430.65000  OFF        OFF        21       ED6ZAA ECHO BM
 491 DMR   HIGH  438.25000  430.65000  OFF        OFF        9        ED6ZAA EA1 BM
 492 DMR   HIGH  438.25000  430.65000  OFF        OFF        10       ED6ZAA EA2 BM
 493 DMR   HIGH  438.25000  430.65000  OFF        OFF        11       ED6ZAA EA3 BM
 494 DMR   HIGH  438.25000  430.65000  OFF        OFF        12       ED6ZAA EA4 BM
 495 DMR   HIGH  438.25000  430.65000  OFF        OFF        13       ED6ZAA EA5 BM
 496 DMR   HIGH  438.25000  430.65000  OFF        OFF        14       ED6ZAA EA6 BM
 497 DMR   HIGH  438.25000  430.65000  OFF        OFF        15       ED6ZAA EA7 BM
 498 DMR   HIGH  438.25000  430.65000  OFF        OFF        16       ED6ZAA EA8 BM
 499 DMR   HIGH  438.25000  430.65000  OFF        OFF        17       ED6ZAA EA9 BM
 500 DMR   LOW   439.97500  439.97500  OFF        OFF        1        HOTSPOT 1-1 BM
 501 DMR   HIGH  439.97500  439.97500  OFF        OFF        2        HOTSPOT 1-2 BM
 502 DMR   HIGH  439.97500  439.97500  OFF        OFF        3        HOTSPOT 1-14 BM
 503 DMR   HIGH  439.97500  439.97500  OFF        OFF        4        HOTSPOT 1-214 BM
 504 DMR   HIGH  439.97500  439.97500  OFF        OFF        29       HOTSPOT YSF-EA5
 505 DMR   HIGH  439.95000  439.95000  OFF        OFF        6        DMR PLUS TG9
 506 DMR   HIGH  439.97500  439.97500  OFF        OFF        21       HOTSPOT ECHO BM
 507 DMR   HIGH  439.97500  439.97500  OFF        OFF        9        HOTSPOT EA1 BM
 508 DMR   HIGH  439.97500  439.97500  OFF        OFF        10       HOTSPOT EA2 BM
 509 DMR   HIGH  439.97500  439.97500  OFF        OFF        11       HOTSPOT EA3 BM
 510 DMR   HIGH  439.97500  439.97500  OFF        OFF        12       HOTSPOT EA4 BM
 511 DMR   HIGH  439.97500  439.97500  OFF        OFF        13       HOTSPOT EA5 BM
 512 DMR   HIGH  439.97500  439.97500  OFF        OFF        14       HOTSPOT EA6 BM
 513 DMR   HIGH  439.97500  439.97500  OFF        OFF        15       HOTSPOT EA7 BM
 514 DMR   HIGH  439.97500  439.97500  OFF        OFF        16       HOTSPOT EA8 BM
 515 DMR   HIGH  439.97500  439.97500  OFF        OFF        17       HOTSPOT EA9 BM
 516 DMR   HIGH  438.45000  430.85000  OFF        OFF        1        ED3ZAR 1-1 BM
 517 DMR   HIGH  438.45000  430.85000  OFF        OFF        2        ED3ZAR 1-2 BM
 518 DMR   HIGH  438.45000  430.85000  OFF        OFF        3        ED3ZAR 1-14 BM
 519 DMR   HIGH  438.45000  430.85000  OFF        OFF        4        ED3ZAR 1-214 BM
 520 DMR   HIGH  438.45000  430.85000  OFF        OFF        6        ED3ZAR 1-9 BM
 521 DMR   HIGH  438.45000  430.85000  OFF        OFF        6        ED3ZAR 2-9 BM
 522 DMR   HIGH  438.45000  430.85000  OFF        OFF        21       ED3ZAR ECHO BM
 523 DMR   HIGH  438.45000  430.85000  OFF        OFF        9        ED3ZAR EA1 BM
 524 DMR   HIGH  438.45000  430.85000  OFF        OFF        10       ED3ZAR EA2 BM
 525 DMR   HIGH  438.45000  430.85000  OFF        OFF        11       ED3ZAR EA3 BM
 526 DMR   HIGH  438.45000  430.85000  OFF        OFF        12       ED3ZAR EA4 BM
 527 DMR   HIGH  438.45000  430.85000  OFF        OFF        13       ED3ZAR EA5 BM
 528 DMR   HIGH  438.45000  430.85000  OFF        OFF        14       ED3ZAR EA6 BM
 529 DMR   HIGH  438.45000  430.85000  OFF        OFF        15       ED3ZAR EA7 BM
 530 DMR   HIGH  438.45000  430.85000  OFF        OFF        16       ED3ZAR EA8 BM
 531 DMR   HIGH  438.45000  430.85000  OFF        OFF        17       ED3ZAR EA9 BM
 532 DMR   HIGH  439.41250  431.81250  OFF        OFF        23       ED3YAB 1 World
 533 DMR   HIGH  439.41250  431.81250  OFF        OFF        24       ED3YAB 1 Europa
 534 DMR   HIGH  439.41250  431.81250  OFF        OFF        0        ED3YAB 1 ESP
 535 DMR   HIGH  439.41250  431.81250  OFF        OFF        3        ED3YAB 1 ESPA?A
 536 DMR   HIGH  439.41250  431.81250  OFF        OFF        6        ED3YAB 1 LOCAL
 537 DMR   HIGH  439.41250  431.81250  OFF        OFF        5        ED3YAB 2 REGIONA
 538 DMR   HIGH  439.41250  431.81250  OFF        OFF        6        ED3YAB 2 LOCAL
 539 DMR   HIGH  439.41250  431.81250  OFF        OFF        8        ED3YAB ECHO
 540 DMR   HIGH  438.20000  430.60000  OFF        OFF        23       ED2ZAC 1 World
 541 DMR   HIGH  438.20000  430.60000  OFF        OFF        24       ED2ZAC 1 Europa
 542 DMR   HIGH  438.20000  430.60000  OFF        OFF        0        ED2ZAC 1 ESP
 543 DMR   HIGH  438.20000  430.60000  OFF        OFF        3        ED2ZAC 1 ESPA?A
 544 DMR   HIGH  438.20000  430.60000  OFF        OFF        6        ED2ZAC 1 LOCAL
 545 DMR   HIGH  438.20000  430.60000  OFF        OFF        5        ED2ZAC 2 REGIONA
 546 DMR   HIGH  438.20000  430.60000  OFF        OFF        6        ED2ZAC 2 LOCAL
 547 DMR   HIGH  438.20000  430.60000  OFF        OFF        8        ED2ZAC ECHO
 548 DMR   HIGH  438.26250  430.66250  OFF        OFF        1        EA5ERC 1-1 BM
 549 DMR   HIGH  438.26250  430.66250  OFF        OFF        2        EA5ERC 1-2 BM
 550 DMR   HIGH  438.26250  430.66250  OFF        OFF        3        EA5ERC 1-14 BM
 551 DMR   HIGH  438.26250  430.66250  OFF        OFF        4        EA5ERC 1-214 BM
